engine_id	RUL
1	212.67
1	232.75
1	203.83
1	205.65
1	210.5
1	213.63
1	210.34
1	204.59
1	210.03
1	217.99
1	219.62
1	201.65
1	218.01
1	202.65
1	207.73
1	186.96
1	216.17
1	182.94
1	189.87
1	183.76
1	199.28
1	195.29
1	208.9
1	200.38
1	181.51
1	187.26
1	173.46
1	212.36
1	167.65
1	164.77
1	170.21
2	182.14
2	182.16
2	195.53
2	205.17
2	198.86
2	202.27
2	199.29
2	187.87
2	183.11
2	187.26
2	193.6
2	192.84
2	183.96
2	192.66
2	188.52
2	191.75
2	186.01
2	185.11
2	170.34
2	180.09
2	170.19
2	168.0
2	170.13
2	160.44
2	175.82
2	179.76
2	166.1
2	168.99
2	170.81
2	166.82
2	166.47
2	165.71
2	153.37
2	169.32
2	168.41
2	162.98
2	167.78
2	158.15
2	157.09
2	163.65
2	162.37
2	164.0
2	156.31
2	146.41
2	148.47
2	149.47
2	144.57
2	154.45
2	156.58
3	198.08
3	186.99
3	189.02
3	192.16
3	204.81
3	189.57
3	179.79
3	174.54
3	198.12
3	183.53
3	192.28
3	179.6
3	176.22
3	184.05
3	183.99
3	186.15
3	178.47
3	178.81
3	166.55
3	168.9
3	169.12
3	168.12
3	162.9
3	165.59
3	165.01
3	171.03
3	159.73
3	170.82
3	146.47
3	180.45
3	168.22
3	155.98
3	157.7
3	163.99
3	169.08
3	167.98
3	162.91
3	159.7
3	147.16
3	157.94
3	160.48
3	150.99
3	147.12
3	154.88
3	161.35
3	154.64
3	144.44
3	148.18
3	148.36
3	137.26
3	150.0
3	137.6
3	145.54
3	147.73
3	159.09
3	135.52
3	133.82
3	124.13
3	149.1
3	136.14
3	145.42
3	149.42
3	131.58
3	122.41
3	141.86
3	124.51
3	132.32
3	123.14
3	131.34
3	130.92
3	119.84
3	122.42
3	115.49
3	125.26
3	118.98
3	118.6
3	111.5
3	113.57
3	114.88
3	115.6
3	112.82
3	109.17
3	113.55
3	108.88
3	107.38
3	109.09
3	106.94
3	107.49
3	106.5
3	119.44
3	113.95
3	103.33
3	101.61
3	97.56
3	98.51
3	103.91
3	102.17
3	103.23
3	89.47
3	91.11
3	105.08
3	104.98
3	96.67
3	77.83
3	94.77
3	86.54
3	92.4
3	89.94
3	96.66
3	82.93
3	77.91
3	62.36
3	74.68
3	77.98
3	68.86
3	79.84
3	76.09
3	73.07
3	74.64
3	49.1
3	72.8
3	68.69
3	48.62
3	70.33
3	57.94
3	57.04
4	183.73
4	183.92
4	190.43
4	184.34
4	195.77
4	181.3
4	193.29
4	177.88
4	180.3
4	205.68
4	179.51
4	182.98
4	206.17
4	184.75
4	177.29
4	185.08
4	172.03
4	193.59
4	174.33
4	170.96
4	173.37
4	172.62
4	185.84
4	169.62
4	202.98
4	171.36
4	181.81
4	173.66
4	155.49
4	163.31
4	174.77
4	161.74
4	182.68
4	162.21
4	157.54
4	198.98
4	156.15
4	174.26
4	176.03
4	163.6
4	164.03
4	157.63
4	159.12
4	151.62
4	146.02
4	143.78
4	147.02
4	157.67
4	146.16
4	146.46
4	143.16
4	145.4
4	148.93
4	137.64
4	143.23
4	142.96
4	137.51
4	145.84
4	150.06
4	136.6
4	134.37
4	117.35
4	133.26
4	138.44
4	142.99
4	135.22
4	148.41
4	134.49
4	126.7
4	110.76
4	132.95
4	107.14
4	129.06
4	111.17
4	120.75
4	117.57
4	114.06
4	113.33
4	134.66
4	119.38
4	124.95
4	126.44
4	116.94
4	110.56
4	125.03
4	112.45
4	107.58
4	112.85
4	107.22
4	114.35
4	108.35
4	104.3
4	113.32
4	105.1
4	107.92
4	96.43
4	100.21
4	94.45
4	92.89
4	89.65
4	79.88
4	114.96
4	92.64
4	84.78
4	86.36
4	75.43
5	196.93
5	198.26
5	183.04
5	183.86
5	196.71
5	201.33
5	191.48
5	190.73
5	188.37
5	180.31
5	199.83
5	181.87
5	177.83
5	180.83
5	173.43
5	174.07
5	171.52
5	169.24
5	175.61
5	163.65
5	182.89
5	162.7
5	164.83
5	176.89
5	167.73
5	167.21
5	169.89
5	169.69
5	171.66
5	162.6
5	166.87
5	168.71
5	175.77
5	159.71
5	152.91
5	173.96
5	160.86
5	161.66
5	163.85
5	163.23
5	167.4
5	144.67
5	164.01
5	147.53
5	167.61
5	149.4
5	151.49
5	148.65
